CÓDIGO,UNIDADE,TÍTULO,ÁREA DE CONHECIMENTO,VINCULAÇÃO,FINANCIADO,PASSA POR COMITÊ,PARTICIPAÇÃO,STATUS,DATA DE CADASTRO,PERÍODO DE VIGÊNCIA,Unnamed: 11
PI05901-2024,FACULDADE DE ENGENHARIA DA UFCAT,BALANÇO DE GASES DE EFEITO ESTUFA EM SISTEMAS DE PRODUÇÃO AGROPECUÁRIOS INTEGRADORES EM GOIÁS,Ciências Agrárias - Agronomia - Fitotecnia - Manejo e Tratos Culturais,Tipo de vínculo desconhecido,não,não,"ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Coordenador), ELISABETE A. DE NADAI FERNANDES (EXTERNO - Colaborador), FERNANDA GRANJA (EXTERNO - Colaborador), GEORGIA ALVES DA SILVA (DISCENTE - Colaborador), ISTHAR SOFIA FRANZOI (DISCENTE - Colaborador), IZAMARA TEMPESTA (EXTERNO - Colaborador), MARIANA TENORIO CAVALCANTI SOUTO MENEZES (DISCENTE - Colaborador), NILO SANDER (EXTERNO - Colaborador), RENAN CALDAS UMBURANAS (EXTERNO - Colaborador)",EM ANDAMENTO (Documentos Conferidos),22/10/2024,01/11/2024 a 01/11/2025,
,FACULDADE DE ENGENHARIA DA UFCAT,Rotas Tecnológicas para o Aproveitamento das Aloteritas,"Engenharias - Engenharia Civil, Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo",Tipo de vínculo desconhecido,sim,não,"ALBERTHMEIRY TEIXEIRA DE FIGUEIREDO (DOCENTE - Colaborador), ALEXANDRE MARTINS LOURENÇO (EXTERNO - Colaborador), ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador), BARBARA PACI MAZZILLI (EXTERNO - Colaborador), BRUNO PALHARES MILANEZI (EXTERNO - Colaborador), CLEUMAR TRISTAO DE AGUIAR (SERVIDOR - Colaborador), CRISTIANO MORITA BARRADO (DOCENTE - Colaborador), ERIVAN DE PAULA SANTOS NETO (DISCENTE - Colaborador), GABRIEL GOMES SILVA (DOCENTE - Colaborador), JULIANA ROSA SIDNEI (DISCENTE - Colaborador), MARCOS VINICIUS AGAPITO MENDES (DOCENTE - Vice-coodernador), WANDERLEI MALAQUIAS PEREIRA JUNIOR (DOCENTE - Vice-coodernador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",GRAVADO,02/10/2024,02/10/2024 a 30/06/2028,
PI05900-2024,FACULDADE DE ENGENHARIA DA UFCAT,Análise de contaminação microbiológica de águas servidas e tratadas,"Engenharias - Engenharia Civil, Engenharias - Engenharia Sanitária - Saneamento Básico",Tipo de vínculo desconhecido,sim,não,"ALBERTHMEIRY TEIXEIRA DE FIGUEIREDO (DOCENTE - Colaborador), ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador), CRISTIANO MORITA BARRADO (DOCENTE - Colaborador), HEBER MARTINS DE PAULA (DOCENTE - Vice-coodernador), NATAN DA SILVA (DISCENTE - Colaborador)",EM ANDAMENTO,16/10/2024,16/04/2024 a 15/04/2025,
PI05885-2024,FACULDADE DE ENGENHARIA DA UFCAT,Recuperação de cromo a partir da escória do processo metalúrgico da liga ferro-cromo,Engenharias - Engenharia de Minas - Tratamento de Minérios - Métodos de Concentração e Enriquecimento de Minérios,Tipo de vínculo desconhecido,não,não,"ANDRE CARLOS SILVA (DOCENTE - Vice-coodernador), ELENICE MARIA SCHONS SILVA (DOCENTE - Coordenador)",EM ANDAMENTO (Documentos Conferidos),24/05/2024,01/09/2024 a 31/08/2028,
PI05833-2024,FACULDADE DE ENGENHARIA DA UFCAT,MODELAGEM DE PROPAGAÇÃO DE FRATURAS OU DO COMPORTAMENTO MECÂNICO DE MATERIAIS HETEROGÊNEOS VIA MEC,Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas,Tipo de vínculo desconhecido,sim,não,"EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Coordenador), IVAN DOURADO MARIANO LOPES (DISCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Colaborador), LORENA ESTRELA PEIXOTO (DISCENTE - Colaborador), MATHEUS CALACA DE SOUSA (DISCENTE - Colaborador)",EM ANDAMENTO,08/03/2024,08/03/2024 a 01/09/2027,
PI05889-2024,FACULDADE DE ENGENHARIA DA UFCAT,Propagação de Fraturas em placas utilizando conceito de Fortes Descontinuidades e o MEC,Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas,Tipo de vínculo desconhecido,sim,não,"EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Coordenador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Colaborador)",EM ANDAMENTO,13/06/2024,12/06/2024 a 30/12/2025,
PI05904-2024,FACULDADE DE ENGENHARIA DA UFCAT,PRÁTICAS SUSTENTÁVEIS EM ENGENHARIA GEOTÉCNICA: DESAFIOS E SOLUÇÕES PARA MITIGAÇÃO DE IMPACTOS GEOTÉCNICOS EM MINERAÇÃO E INFRAESTRUTURA CIVIL,"Engenharias - Engenharia Civil - Geotécnica - Fundações e Escavações, Engenharias - Engenharia Civil - Geotécnica - Mecânicas dos Solos, Engenharias - Engenharia Civil - Geotécnica - Obras de Terra e Enrocamento",Tipo de vínculo desconhecido,não,não,GABRIEL GOMES SILVA (DOCENTE - Coordenador),EM ANDAMENTO (Documentos Conferidos),18/11/2024,10/12/2024 a 11/12/2029,
PI05840-2024,FACULDADE DE ENGENHARIA DA UFCAT,"PROJETO, USO E OPERAÇÃO E MANUTENÇÃO DOS SISTEMAS PREDIAIS HIDROSSANITÁRIOS EM DIFERENTES TIPOLOGIAS DE CONSTRUÇÃO: avaliação pós ocupacional e a integração com o BIM","Engenharias - Engenharia Civil - Construção Civil - Processos Construtivos, Engenharias - Engenharia Civil - Construção Civil - Instalações Prediais",Tipo de vínculo desconhecido,não,sim,"ED CARLO ROSA PAIVA (DOCENTE - Vice-coodernador), HEBER MARTINS DE PAULA (DOCENTE - Coordenador), RAFAEL PEREIRA (EXTERNO - Colaborador), RICARDO PRADO ABREU REIS (EXTERNO - Colaborador), RODRIGO EMANUEL RODRIGUES DA SILVA (DISCENTE - Colaborador), YAN DE PÁDUA CASTRO METSAVAHT (DISCENTE - Colaborador)",SUBMETIDO À COORDENADORIA DE PESQUISA,11/03/2025,26/03/2024 a 31/12/2027,
,FACULDADE DE ENGENHARIA DA UFCAT,EMPREGO DE FORMULAÇÕES MULTIESCALA PARA A OBTENÇÃO DE CONCRETO SUSTENTÁVEL E NOVOS MATERIAIS COM RESÍDUOS DA MINERAÇÃO,Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas,Tipo de vínculo desconhecido,sim,não,"ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Colaborador), EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Vice-coodernador), IVAN DOURADO MARIANO LOPES (DISCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Coordenador), SARAH PEREIRA BATISTA (DISCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",GRAVADO,15/03/2024,15/03/2024 a 15/03/2027,
PI05836-2024,FACULDADE DE ENGENHARIA DA UFCAT,EMPREGO DE FORMULAÇÕES MULTIESCALA PARA A OBTENÇÃO DE CONCRETO SUSTENTÁVEL E NOVOS MATERIAIS COM RESÍDUOS DA MINERAÇÃO,Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas,Tipo de vínculo desconhecido,sim,não,"ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Colaborador), EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Vice-coodernador), IVAN DOURADO MARIANO LOPES (DISCENTE - Colaborador), JOSÉ CARLOS CAMPOS GONÇALVES FILHO (DISCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Coordenador), MICHELE CRISTINE DA SILVA (DISCENTE - Colaborador), PABLO ZAVATTIERI (EXTERNO - Colaborador), SARAH PEREIRA BATISTA (DISCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",EM ANDAMENTO,19/03/2024,19/03/2024 a 19/03/2027,
